video_url,video_id,video_type,question_id,question_type,task_type,question,clips,answer,count_details
https://www.youtube.com/watch?v=Cm73ma6Ibcs,1,cartoon,1,A,Counting,How many times do scenes of women eating appear?,"[0:03:19,0:03:23], [0:44:58,0:44:59]
",2,"At the Soba noodle shop, At Shindo Dojo"
,1,cartoon,2,A,Enumeration,Please list the types of places the women visited in the video.,"[0:01:41,0:07:21],
[0:07:49,0:10:08],
[0:10:13,0:11:34],
[0:22:12,0:23:17],
[0:25:06,0:26:46],
[0:31:08,0:34:11],
[0:53:12,0:53:24],

","Soba noodle shop, Snow forest,
Prayer shrine,  Shindo house, Castle, Shindo Dojo, Hot spring with a waterfall",
,1,cartoon,5,C,Counting,How many times did the man say the word 'soba' between 2:15 and 2:27?,"[0:02:15,0:02:27]",3,
,1,cartoon,6,C,Enumeration,Please list the words uttered by a male voice between 2:03 and 2:08.,"[0:02:03,0:02:08]","Ringo, Ugh, Customer, Big hat",
https://www.youtube.com/watch?v=q01CUy_gwdU,2,cartoon,13,A,Counting,How many scenes are there where the protagonist boy runs?,"[0:02:08,0:02:45], [0:02:51,0:02:54], [0:03:25,0:03:40], [0:24:27,0:24:48], [0:26:23,0:26:24],  [0:27:42,0:27:43], [0:27:54,0:27:55], [0:29:16,0:29:33], [0:40:31,0:40:40], [0:45:49,0:46:08], [0:46:16,0:46:18], [0:46:37,0:46:38], [0:49:15,0:49:40]",13,
,2,cartoon,14,A,Enumeration,Please list all types of vehicles that appear in the video that people ride and fly in the sky.,"[0:09:29,0:11:02], [0:19:28,0:19:47], [0:21:53,0:22:03]","Biplane, Hot air balloon, Steam-powered flying machine, Sail-powered flying car, Pedal-powered flying machine, Flying rowboat, Man-made Wings, Penny-farthing bicycle, Shoe shaped vehicle",
,2,cartoon,15,B,Counting,"In the scene from 2:38, when the boy bumps into the girl and the scrolls she dropped are scattered on the ground, how many times did the scrolls rotate?","[0:02:39,0:02:45]",1,
,2,cartoon,16,B,Enumeration,"In the scene from 3:39, please list the actions of the boy and girl in chronological order, from when the boy catches up to the girl until he hands her the sketchbook."," [0:03:39,0:03:47]",The boy bumps into the girl → The girl looks back at him → The boy comes back toward her → He picks up the sketches that fell → He hands the sketches to her,
,2,cartoon,20,D,Enumeration,Please list all constellation-shaped creatures that appear between 21:16 and 22:36.,"[0:21:16,0:22:36]","Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn, Aquarius, Pisces",
,2,cartoon,21,E,Counting,How many people are sitting around the table in the 6:39 scene?,"[0:06:39,0:06:40]",2,"Boy, Girl"
,2,cartoon,22,E,Enumeration,Please list the vehicle-related items visible in the pile of junk appearing at 30:55.,"[0:30:55,0:30:58]","Car, Tire, Bulb",
,2,cartoon,23,F,Counting,"How many scenes are there where a boy and a girl are alone together, and a cluster of high-rise buildings is clearly depicted in the background?","[0:18:22,0:18:47], [0:23:41,0:24:04], [0:25:18,0:25:32],",3,
https://www.youtube.com/watch?v=Si5auXCYWDI,3,cartoon,25,A,Counting,What is the total number of times Marsha said the food was unappetizing or refused to eat it?,"[0:00:54,0:01:12],
[0:01:47,0:01:57],
[0:02:13,0:02:17],
[0:02:26,0:02:28],
[0:02:38,0:02:41],
[0:03:09,0:03:17],
[0:03:36,0:03:39],
[0:04:28,0:04:32],
[0:14:45,0:14:50]",9,
,3,cartoon,26,A,Enumeration,"Please list all the dough shapes Masha and the Bear made, other than dumplings.","[0:09:29,0:09:32], [0:09:38,0:09:41], [0:10:13,0:10:14]","snowman, duck, caterpillar, ghost mask",
,3,cartoon,27,B,Counting,How many tools did the wolves use to open the can before it exploded?,"[0:05:18,0:05:42]",4,"Screwdriver
Manual chainsaw
Iron hammer 
Drill machine"
,3, ,28,B,Enumeration,Please list the steps for pandas and bears to make dumplings.,"[0:07:32,0:07:52], [0:09:51,0:09:53]",Wear a chef's hat and apron→Sprinkle flour on the table→Knead the dough→Roll out the dough into a long strip→Cut the dough into small pieces→Prepare ground meat→Roll out small pieces of dough into circles,
,3,cartoon,31,D,Counting,How many episodes in this video feature a female bear?,"[0:13:32,0:13:38], [0:23:38,0:23:42], [0:27:48,0:27:50], [0:43:11,0:43:14], [0:55:38,0:55:40]",5,
,3,cartoon,32,D,Enumeration,"At Bear's birthday party, please list all the animals that were wearing party hats.","[0:55:38,0:55:41], [0:56:25,0:56:27]","Bear, pig, wolf, rabbit",
,3,cartoon,33,E,Counting,What was the maximum number of guests seated around the table at Bear's birthday party?,"[0:56:02,0:56:05]",5,
,3,cartoon,34,E,Enumeration,"In the gyoza-making scene, please list the cooking utensils and ingredients that were initially on the table.","[0:07:16,0:07:18]","cookbook, suitcase",
,3,cartoon,35,F,Counting,How many types of animals did Marsha meet between leaving home and returning home again?,"[0:01:42,0:01:45], [0:02:08,0:02:23], [0:02:32,0:02:35], [0:02:54,0:02:59], [0:03:25,0:03:33], [0:04:01,0:04:04]",9,
,3,cartoon,36,F,Enumeration,"Please list the events in order after the caterpillar entered the pot in the ""Bon Appétit"" episode.","[0:12:49,0:12:50], [0:12:57,0:13:13]",The lid of the pot rattles → A butterfly flies out of the pot → The butterfly flies around the house and goes outside → The bear and panda are surprised → The bear tastes the dumpling and realizes it's delicious → The bear and panda happily eat the dumplings,
,3,cartoon,30,C,Enumeration,Please list all the food Marsha verbally refused to eat.,"[0:00:51,0:00:52], [0:01:01,0:01:02], [0:01:07,0:01:08], [0:01:48,0:01:56], [0:02:14,0:02:16], [0:02:24,0:02:26], [0:02:36,0:02:38], [0:03:06,0:03:07], [0:03:14,0:03:16], [0:03:37,0:03:40], [0:04:28,0:04:31]","porridge, milk, soup, carrot, apple, red berries, pine cone, cabbage, bone, acorn, raw egg",
https://www.youtube.com/watch?v=TJR1oYDDTwg,4,cartoon,37,A,Counting,How many times does the villain Baron Bad Blood laugh maniacally?,"[0:03:26,0:03:30], [0:03:53,0:03:55], [0:05:02,0:05:05], [0:10:31,0:10:34], [0:24:08,0:24:10], [0:26:11,0:26:13], [0:31:43,0:31:44], [0:35:47,0:35:48], [0:37:34,0:37:36]",9,
